productName,productId,category,price,quantity,unit,expiryDate,thresholdValue
Maggi Noodles,PRD001,Food,30,100,Packets,2025-12-31,15
Bru Coffee,PRD002,Beverages,257,50,gm,2025-12-21,10
Red Bull,PRD003,Beverages,150,80,Cans,2025-06-30,12
Bourn Vita,PRD004,Nutrition,502,30,mg,2025-08-15,8
Horlicks,PRD005,Nutrition,299,45,Kg,2026-01-15,10
Harpic,PRD006,Cleaning,180,60,ml,2026-01-15,8
Ariel Detergent,PRD007,Cleaning,408,35,L,2025-12-15,7
Scotch Brite,PRD008,Cleaning,120,90,Packets,2026-06-30,15
Coca Cola,PRD009,Beverages,40,200,ml,2025-11-11,25
Basmati Rice,PRD010,Grains,180,150,Kg,2026-03-31,20
